,time(days),elev(ft),head(ft),storage_initial(acre-ft),Q(cfs),V(ft/s),dVol(acre-ft),storage_final(acre-ft)
39,1.6666666666666667,2212.462840386231,73.46284038623116,4655.540846347746,443.1212952741322,62.68883958414352,36.62159510559944,4618.919251242147
40,1.7083333333333333,2212.157660427018,73.15766042701807,4618.919251242147,442.1999282551286,62.55849281483129,36.5454490700253,4582.373802172122
41,1.75,2211.853115018101,72.85311501810111,4582.373802172122,441.27855923611236,62.428145762575134,36.469302869160856,4545.904499302961
42,1.7916666666666667,2211.549204160858,72.54920416085815,4545.904499302961,440.357188208711,62.297798426190624,36.39315650231417,4509.511342800647
43,1.8333333333333333,2211.245927856672,72.2459278566721,4509.511342800647,439.43581516449746,62.16745080448554,36.31700996878879,4473.194332831858
44,1.875,2210.943286106932,71.94328610693219,4473.194332831858,438.5144400949927,62.03710289626037,36.24086326788397,4436.953469563974
45,1.9166666666666667,2210.641278913033,71.64127891303315,4436.953469563974,437.5930629916635,61.90675470030789,36.16471639889448,4400.7887531650795
46,1.9583333333333333,2210.3399062763756,71.33990627637559,4400.7887531650795,436.67168384592196,61.776406215413175,36.08856936111058,4364.700183803969
47,2.0,2210.0391681983665,71.0391681983665,4364.700183803969,435.7503026491277,61.646057440353864,36.01242215381819,4328.687761650151
48,2.0416666666666665,2209.7153432877285,70.7153432877285,4328.687761650151,434.75600626834773,61.505393276887624,35.93024889818767,4292.757512751963
49,2.0833333333333335,2209.3887046613813,70.38870466138133,4292.757512751963,433.75076140918753,61.363180220573796,35.84717080962193,4256.910341942341
50,2.125,2209.062821290385,70.06282129038482,4256.910341942341,432.74551385037785,61.22096678233768,35.76409249794466,4221.146249444396
51,2.1666666666666665,2208.759552078703,69.75955207870311,4221.146249444396,431.80792160075106,61.0883246124419,35.68660553420319,4185.459643910192
52,2.2083333333333335,2208.4621636992515,69.4621636992515,4185.459643910192,430.88652943152,60.95797428510031,35.61045742009782,4149.849186490094
53,2.25,2208.1654098874174,69.16540988741735,4149.849186490094,429.96513515570024,60.827623659737384,35.534309131894226,4114.3148773582
54,2.2916666666666665,2207.843148773582,68.84314877358202,4114.3148773582,428.96230137348846,60.68575170103646,35.45143030588868,4078.863447052311
55,2.3333333333333335,2207.4886344705233,68.48863447052327,4078.863447052311,427.85638481778346,60.52929651304747,35.360032242298544,4043.5034148100126
56,2.375,2207.1350341481,68.1350341481002,4043.5034148100126,426.7504645676775,60.37284080240766,35.268633873386015,4008.2347809366265
57,2.4166666666666665,2206.802134372151,67.80213437215116,4008.2347809366265,425.706661703054,60.225172904169156,35.18236917275894,3973.0524117638674
58,2.4583333333333335,2206.4822946523987,67.48229465239865,3973.0524117638674,424.70139208099,60.08295634462106,35.09928903767219,3937.953122726195
59,2.5,2206.163210206602,67.16321020660189,3937.953122726195,423.696119642797,59.940739386672206,35.016208669847515,3902.9369140563476
60,2.5416666666666665,2205.8293691405634,66.82936914056336,3902.9369140563476,422.64179711162467,59.791583260050665,34.929074575279984,3868.0078394810675
61,2.5833333333333335,2205.480078394811,66.48007839481079,3868.0078394810675,421.53585918059196,59.635125048071394,34.83767474513382,3833.1701647359337
62,2.625,2205.1317016473595,66.13170164735948,3833.1701647359337,420.4299174433182,59.478666297619164,34.74627460042227,3798.4238901355116
63,2.6666666666666665,2204.784238901355,65.78423890135491,3798.4238901355116,419.3239718797123,59.32220700585167,34.65487413948493,3763.7690159960266
64,2.7083333333333335,2204.4376901599603,65.43769015996031,3763.7690159960266,418.21802246952717,59.165747169904535,34.563473360648466,3729.205542635378
65,2.75,2204.092055426354,65.09205542635391,3729.205542635378,417.11206919234894,59.00928678688978,34.4720722622258,3694.733470373152
66,2.7916666666666665,2203.7473347037317,64.74733470373167,3694.733470373152,416.0061120276034,58.85282585389677,34.38067084251657,3660.3527995306354
67,2.8333333333333335,2203.4035279953064,64.40352799530638,3660.3527995306354,414.9001509545514,58.69636436799148,34.2892690998068,3626.0635304308285
68,2.875,2203.060635304308,64.06063530430811,3626.0635304308285,413.7941859522874,58.53990232621641,34.19786703236877,3591.8656633984597
69,2.9166666666666665,2202.7186566339847,63.718656633984665,3591.8656633984597,412.68821699973927,58.38343972559045,34.10646463846097,3557.7591987599985
70,2.9583333333333335,2202.3775919875998,63.37759198759977,3557.7591987599985,411.5822440756599,58.22697656310776,34.01506191632744,3523.744136843671
71,3.0,2202.0374413684367,63.0374413684367,3523.744136843671,410.47626715863686,58.070512835739095,33.923658864198565,3489.820477979473
72,3.0416666666666665,2201.6982047797947,62.69820477979465,3489.820477979473,409.3702862270779,57.91404854042977,33.83225548028985,3455.988222499183
73,3.0833333333333335,2201.359882224992,62.35988222499191,3455.988222499183,408.26430125921945,57.75758367410088,33.74085176280267,3422.24737073638
74,3.125,2201.0224737073636,62.02247370736359,3422.24737073638,407.15831223311653,57.60111823364784,33.64944770992338,3388.5979230264566
75,3.1666666666666665,2200.6510880336273,61.651088033627275,3388.5979230264566,405.9374659991367,57.42840382218738,33.54855132569669,3355.04937170076
76,3.2083333333333335,2200.2783263522306,61.27832635223058,3355.04937170076,404.7083931624163,57.25452558451269,33.44697505693755,3321.6023966438224
77,3.25,2199.9160239664384,60.91602396643839,3321.6023966438224,403.5102192112856,57.08501864495144,33.34795241511836,3288.254444228704
78,3.2916666666666665,2199.582544442287,60.582544442287144,3288.254444228704,402.40421248676824,56.928550700684944,33.25654689956017,3254.9978973291436
79,3.3333333333333335,2199.2499789732915,60.24997897329149,3254.9978973291436,401.298201584702,56.772082165416165,33.16514103875,3221.8327562903937
80,3.375,2198.9092528476713,59.90925284767127,3221.8327562903937,400.1618804988802,56.61132561630676,33.071230204044625,3188.761526086349
81,3.4166666666666665,2198.5417947342926,59.54179473429258,3188.761526086349,398.9327807243423,56.43744356771045,32.96965170901955,3155.7918743773293
82,3.4583333333333335,2198.175465270859,59.17546527085915,3155.7918743773293,397.70367511621356,56.26356069382987,32.868072731879515,3122.9238016454497
83,3.5,2197.810264462727,58.81026446272699,3122.9238016454497,396.47456363829406,56.08967698954376,32.766493269632804,3090.1573083758167
84,3.5416666666666665,2197.4461923152867,58.44619231528668,3090.1573083758167,395.24544625405025,55.915792449683686,32.66491331926011,3057.4923950565567
85,3.5833333333333335,2197.0832488339615,58.083248833961534,3057.4923950565567,394.01632292660344,55.74190706903238,32.563332877713606,3024.929062178843
86,3.625,2196.6866132772357,57.686613277235665,3024.929062178843,392.6687003151713,55.551257469004085,32.45195910679048,2992.4771030720526
87,3.6666666666666665,2196.2809637884006,57.28096378840064,2992.4771030720526,391.28565093835766,55.355596006906254,32.33765750398129,2960.139445568071
88,3.7083333333333335,2195.8904382840897,56.89043828408967,2960.139445568071,389.94953195128284,55.16657383681569,32.227234445826774,2927.912211122244
89,3.75,2195.5323579013584,56.53235790135841,2927.912211122244,388.72038258643323,54.992684772625395,32.12565185242878,2895.7865592698154
90,3.7916666666666665,2195.175406214109,56.17540621410899,2895.7865592698154,387.4912270766982,54.81879483911164,32.024068751189,2863.7624905186262
91,3.8333333333333335,2194.797031131483,55.79703113148298,2863.7624905186262,386.1840291553405,54.633864162859616,31.9160358637846,2831.8464546548416
92,3.875,2194.3980806831855,55.398080683185526,2831.8464546548416,384.800938732521,54.43819689393981,31.80173086874347,2800.044723786098
93,3.9166666666666665,2194.000559047326,55.00055904732608,2800.044723786098,383.41783937551327,54.24252836109092,31.68742513533967,2768.3572986507584
94,3.9583333333333335,2193.6044662331346,54.604466233134644,2768.3572986507584,382.0347310195711,54.04685855515323,31.57311865822227,2736.784179992536
95,4.0,2193.2098022499067,54.209802249906716,2736.784179992536,380.6516135992365,53.85118746686633,31.45881143198152,2705.3253685605546
96,4.041666666666667,2192.790362408008,53.79036240800815,2705.3253685605546,379.17613791483745,53.64245035701388,31.336871291260476,2673.988497269294
97,4.083333333333333,2192.342692818133,53.342692818132946,2673.988497269294,377.5949970531791,53.41876468247388,31.20619849115334,2642.7822987781406
98,4.125,2191.909778734727,52.90977873472684,2642.7822987781406,376.05964893571553,53.20155735601951,31.07931021540683,2611.702988562734
99,4.166666666666667,2191.521287357034,52.521287357034,2611.702988562734,374.67649158782996,53.005880619139624,30.964999689368437,2580.7379888733653
100,4.208333333333333,2191.134224860917,52.13422486091713,2580.7379888733653,373.29332481502325,52.81020254890616,30.850688384410933,2549.887300488954
101,4.25,2190.712675721271,51.7126757212709,2549.887300488954,371.7810660928132,52.596261703685215,30.725708323171883,2519.161592165782
102,4.291666666666667,2190.2737370309396,51.27373703093963,2519.161592165782,370.199859378052,52.37256671283691,30.595030080659487,2488.5665620851228
103,4.333333333333333,2189.8366651726446,50.83666517264464,2488.5665620851228,368.6186382397681,52.14886968147755,30.464350646120405,2458.1022114390025
104,4.375,2189.4014601634144,50.40146016341441,2458.1022114390025,367.037402553552,51.9251705920068,30.33367000927287,2427.76854142973
105,4.416666666666667,2188.9681220204247,49.968122020424744,2427.76854142973,365.45615219337816,51.701469426595686,30.202988159701533,2397.5655532700284
